"자치구별(1)",자치구별(2),2023. 01,2023. 01,2023. 02,2023. 02,2023. 03,2023. 03,2023. 04,2023. 04,2023. 05,2023. 05,2023. 06,2023. 06,2023. 07,2023. 07,2023. 08,2023. 08,2023. 09,2023. 09,2023. 10,2023. 10,2023. 11,2023. 11,2023. 12,2023. 12,2024. 01,2024. 01,2024. 02,2024. 02,2024. 03,2024. 03,2024. 04,2024. 04,2024. 05,2024. 05,2024. 06,2024. 06,2024. 07,2024. 07,2024. 08,2024. 08,2024. 09,2024. 09,2024. 10,2024. 10,2024. 11,2024. 11,2024. 12,2024. 12,2025. 01,2025. 01,2025. 02,2025. 02,2025. 03,2025. 03,2025. 04,2025. 04,2025. 05,2025. 05,2025. 06,2025. 06,2025. 07,2025. 07,2025. 08,2025. 08,2025. 09,2025. 09,2025. 10,2025. 10,2025. 11,2025. 11,2025. 12,2025. 12
"자치구별(1)",자치구별(2),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡)
"합계",서대문구,36,2,166,9,114,8,114,8,120,9,150,12,124,9,172,12,172,13,108,8,75,6,56,4,84,6,97,7,110,8,185,14,184,14,248,18,420,33,280,21,181,13,151,11,131,9,206,11,212,12,145,10,317,24,272,20,272,20,519,39,292,22,116,8,259,19,514,40,172,13,232,17
"합계",마포구,100,4,83,5,122,9,122,9,176,13,181,14,183,13,188,14,163,12,106,8,84,6,68,5,101,8,113,9,157,11,263,19,260,19,306,23,466,36,376,29,203,16,168,13,159,12,130,10,146,11,227,17,550,42,423,32,402,31,661,52,359,29,139,10,333,25,673,52,133,11,124,9
"합계",양천구,35,3,105,8,122,9,144,10,147,11,165,13,161,13,198,15,188,15,132,11,129,11,89,7,100,8,136,11,157,13,154,12,213,17,234,18,395,31,406,32,270,21,182,14,157,13,165,13,103,8,173,13,425,33,371,31,339,28,556,45,335,27,94,7,293,23,548,44,164,12,244,18
"합계",강서구,55,4,106,7,164,11,168,11,171,12,222,16,170,12,209,13,184,13,156,11,138,9,105,7,126,8,154,10,151,10,248,17,272,19,288,21,431,31,394,28,249,18,195,14,170,12,160,11,168,11,219,14,389,26,384,27,445,26,580,42,445,30,220,15,419,28,797,58,198,14,253,19
"합계",구로구,41,2,71,5,123,8,140,9,160,11,151,10,149,11,152,11,151,11,145,10,105,7,85,6,121,8,125,9,171,12,233,16,229,16,217,16,307,22,283,20,168,12,181,12,151,10,116,8,134,9,168,12,346,24,284,20,482,25,628,36,324,24,179,12,293,21,441,33,151,11,290,22
"합계",금천구,13,1,22,2,60,4,41,3,53,4,63,4,62,5,62,4,57,4,50,3,42,3,31,2,44,3,50,3,56,4,60,4,67,5,63,4,123,9,90,6,73,5,47,3,42,3,52,4,36,3,64,5,84,6,71,5,67,5,121,9,89,6,61,4,77,6,114,8,52,4,73,5
"합계",영등포구,37,2,98,6,182,12,192,14,189,14,197,15,293,17,184,13,194,15,152,11,119,8,72,6,122,9,125,9,167,12,271,22,322,26,299,23,484,38,438,35,257,21,237,20,179,13,191,14,166,13,255,18,536,43,419,32,458,35,634,50,499,38,209,15,374,28,601,47,195,16,199,14
"합계",동작구,31,2,59,4,114,8,109,8,128,9,132,10,147,11,156,12,155,12,104,8,86,6,63,4,131,9,127,10,139,10,222,17,205,16,243,19,469,37,325,26,191,16,167,13,153,12,152,12,164,12,212,16,517,40,451,33,418,33,623,51,365,30,156,12,331,26,606,52,157,13,134,10
"합계",관악구,22,1,39,2,77,6,88,5,95,7,288,17,99,7,121,9,116,9,93,7,62,4,55,3,70,5,78,6,113,8,140,11,123,9,175,12,260,19,176,13,118,9,127,9,92,6,89,6,75,5,142,10,223,16,207,15,217,16,303,23,202,15,118,8,256,18,350,26,118,9,177,14
"합계",서초구,31,3,83,8,136,12,131,12,178,15,175,15,195,18,198,19,199,19,137,13,109,10,72,7,85,8,100,8,153,13,241,22,266,23,359,32,555,50,378,36,219,20,244,22,292,28,203,18,257,23,252,23,470,44,439,41,399,37,178,16,342,32,222,22,124,12,154,14,262,24,186,17
"합계",강남구,70,6,128,10,205,16,186,17,260,22,293,25,270,23,291,25,236,20,251,18,134,12,119,10,151,13,182,16,192,16,269,24,346,31,328,29,610,52,532,48,373,34,285,25,289,26,256,23,197,19,331,29,906,78,502,45,246,24,389,34,604,54,193,16,215,18,260,21,379,33,262,21
"합계",송파구,98,8,233,18,265,21,242,19,338,28,295,23,291,24,277,21,290,24,208,17,135,12,135,11,184,15,170,14,246,21,352,29,403,33,441,38,705,59,588,50,415,36,251,22,289,26,285,25,224,19,389,33,724,61,837,71,271,23,367,31,849,72,232,19,257,20,501,43,647,54,370,30
"합계",강동구,83,6,182,14,199,14,198,15,254,19,256,19,192,14,254,18,213,15,162,12,103,7,89,7,143,10,154,11,189,14,253,18,279,20,441,32,715,47,364,27,280,21,178,13,200,15,271,15,149,11,318,23,601,45,438,33,390,29,864,66,511,39,239,17,568,43,887,68,221,17,184,14
