"상권별(1)","상권별(2)",상권별(3),항목,2024.3/4,2024.4/4,2025.1/4,2025.2/4,2025.3/4,2025.4/4,2026.1/4
"서울","소계(도심지역)",시청,기타수입 (%),1.9,1.8,1.8,1.8,1.9,1.8,1.9
"서울","소계(도심지역)",시청,운영경비 (%),45.1,10.8,10.8,10.9,56.4,9.9,14.8
"서울","소계(도심지역)",시청,순영업소득 (%),54.9,89.2,89.2,89.1,43.6,90.1,85.2
"서울","소계(도심지역)",시청,순영업소득 (천원/㎡),104.1,179.8,178.9,177.9,83.4,180.0,159.0
"서울","소계(도심지역)",을지로,임대수입 (%),96.7,96.7,96.7,96.7,96.7,96.7,96.7
"서울","소계(도심지역)",을지로,기타수입 (%),3.3,3.3,3.3,3.3,3.3,3.3,3.3
"서울","소계(도심지역)",을지로,운영경비 (%),48.5,9.4,8.1,8.1,49.5,9.1,9.1
"서울","소계(도심지역)",을지로,순영업소득 (%),51.5,90.6,91.9,91.9,50.5,90.9,90.9
"서울","소계(도심지역)",을지로,순영업소득 (천원/㎡),78.7,139.6,141.2,140.6,76.5,140.2,140.3
"서울","소계(도심지역)",종로,임대수입 (%),99.5,99.5,99.5,99.5,99.5,99.5,99.5
"서울","소계(도심지역)",종로,기타수입 (%),0.5,0.5,0.5,0.5,0.5,0.5,0.5
"서울","소계(도심지역)",종로,운영경비 (%),45.0,8.3,8.3,8.3,44.1,8.6,8.5
"서울","소계(도심지역)",종로,순영업소득 (%),55.0,91.7,91.7,91.7,55.9,91.4,91.5
"서울","소계(도심지역)",종로,순영업소득 (천원/㎡),96.8,157.5,156.5,164.4,99.5,170.4,172.0
"서울","소계(도심지역)",충무로,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(도심지역)",충무로,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(도심지역)",충무로,운영경비 (%),41.2,9.6,8.6,8.8,45.0,8.8,8.9
"서울","소계(도심지역)",충무로,순영업소득 (%),58.8,90.4,91.4,91.2,55.0,91.2,91.1
"서울","소계(도심지역)",충무로,순영업소득 (천원/㎡),65.9,102.1,102.7,102.0,61.0,102.0,102.0
"서울","소계(강남지역)",소계,임대수입 (%),96.7,96.8,96.8,96.7,96.7,96.7,96.7
"서울","소계(강남지역)",소계,기타수입 (%),3.3,3.2,3.2,3.3,3.3,3.3,3.3
"서울","소계(강남지역)",소계,운영경비 (%),64.9,13.2,12.7,12.7,71.8,13.8,14.5
